,video_id,it_pair,chunk_id,pathology,image_path,medical_text,roi_text,combined_caption,noisy_text,corrected_text,med_umls_ids,magnification,video_duration,pair_chunk_time,height,width,fps
0,gSobKB_2Ris,1.0,0.0,"['Dermatopathology', 'Soft tissue', 'Hematopathology']",gSobKB_2Ris_image_f4c25a21-c6e4-48d8-9772-faaf2508d086.jpg,['Skin punch biopsy showed mild Interface Dermatitis consistent with lupus erythematosus. Immunofluorescence was also performed.'],[],['Skin punch biopsy showed mild Interface Dermatitis consistent with lupus erythematosus. Immunofluorescence was also performed.'], Got a skin bunch biopsy from a 22-year-old female. Also later on did immunofluorescence. You know what that means. Mild Interface Dermatitis. Consistent with lupus erythematis. Hopefully you noted the Perivascular Inflammation or I should say Perivascular Inflammation., Got a skin punch biopsy from a 22-year-old female. Also later on did immunofluorescence. You know what that means. Mild Interface Dermatitis. Consistent with lupus erythematosus. Hopefully you noted the Perivascular Inflammation or I should say Perivascular Inflammation.,"[[{'entity': 'Skin punch biopsy', 'concept_id': 'C0191321', 'confidence': 1.0}, {'entity': 'Interface Dermatitis', 'concept_id': 'C0262981', 'confidence': 1.0}, {'entity': 'consistent with', 'concept_id': 'C0332290', 'confidence': 1.0}, {'entity': 'lupus erythematosus', 'concept_id': 'C0409974', 'confidence': 1.0}, {'entity': 'Immunofluorescence', 'concept_id': 'C0016318', 'confidence': 1.0}]]",0.0,92.5258,48.69778947368421,1080.0,1920.0,29.97
1,gSobKB_2Ris,1.0,0.0,"['Dermatopathology', 'Soft tissue', 'Hematopathology']",gSobKB_2Ris_image_f1e8b404-e3e8-4811-946b-73b9de61fb3e.jpg,['Skin punch biopsy showed mild Interface Dermatitis consistent with lupus erythematosus. Immunofluorescence was also performed.'],[],['Skin punch biopsy showed mild Interface Dermatitis consistent with lupus erythematosus. Immunofluorescence was also performed.'], Got a skin bunch biopsy from a 22-year-old female. Also later on did immunofluorescence. You know what that means. Mild Interface Dermatitis. Consistent with lupus erythematis. Hopefully you noted the Perivascular Inflammation or I should say Perivascular Inflammation., Got a skin punch biopsy from a 22-year-old female. Also later on did immunofluorescence. You know what that means. Mild Interface Dermatitis. Consistent with lupus erythematosus. Hopefully you noted the Perivascular Inflammation or I should say Perivascular Inflammation.,"[[{'entity': 'Skin punch biopsy', 'concept_id': 'C0191321', 'confidence': 1.0}, {'entity': 'Interface Dermatitis', 'concept_id': 'C0262981', 'confidence': 1.0}, {'entity': 'consistent with', 'concept_id': 'C0332290', 'confidence': 1.0}, {'entity': 'lupus erythematosus', 'concept_id': 'C0409974', 'confidence': 1.0}, {'entity': 'Immunofluorescence', 'concept_id': 'C0016318', 'confidence': 1.0}]]",0.0,92.5258,48.69778947368421,1080.0,1920.0,29.97
2,gSobKB_2Ris,1.0,1.0,"['Dermatopathology', 'Soft tissue', 'Hematopathology']",gSobKB_2Ris_image_1d5d0ffc-3ee8-4e09-8980-87b9cee96f4b.jpg,"['Mild Interface Dermatitis, which is a type of skin inflammation that affects the area where the epidermis and dermis meet.', 'The diagnosis of lupus erythematosus, which is an autoimmune disease that can cause skin rashes and other symptoms.']",[],"['Mild Interface Dermatitis, which is a type of skin inflammation that affects the area where the epidermis and dermis meet.', 'The diagnosis of lupus erythematosus, which is an autoimmune disease that can cause skin rashes and other symptoms.']", Mild Interface Dermatitis. Consistent with lupus erythematis. Hopefully you noted the Perivascular Inflammation or I should say Perivascular Inflammation., Mild Interface Dermatitis. Consistent with lupus erythematosus. Hopefully you noted the Perivascular Inflammation or I should say Perivascular Inflammation.,"[[{'entity': 'Mild Interface Dermatitis', 'concept_id': 'C0262981', 'confidence': 0.8616485595703125}, {'entity': 'skin inflammation', 'concept_id': 'C0011603', 'confidence': 1.0}, {'entity': 'area', 'concept_id': 'C0017446', 'confidence': 1.0}, {'entity': 'epidermis', 'concept_id': 'C0014520', 'confidence': 1.0}, {'entity': 'dermis', 'concept_id': 'C0011646', 'confidence': 1.0}, {'entity': 'meet', 'concept_id': 'C1550543', 'confidence': 1.0}], [{'entity': 'diagnosis', 'concept_id': 'C0011900', 'confidence': 0.9999998807907104}, {'entity': 'lupus erythematosus', 'concept_id': 'C0409974', 'confidence': 1.0}, {'entity': 'autoimmune disease', 'concept_id': 'C0004364', 'confidence': 1.0}, {'entity': 'skin rashes', 'concept_id': 'C0015230', 'confidence': 1.0}, {'entity': 'symptoms', 'concept_id': 'C0683368', 'confidence': 1.0}]]",2.0,92.5258,48.69778947368421,1080.0,1920.0,29.97
3,gSobKB_2Ris,1.0,2.0,"['Dermatopathology', 'Soft tissue', 'Hematopathology']",gSobKB_2Ris_image_7f25440c-ef63-4f2f-97a9-5befb8166f25.jpg,['Mild Interface Dermatitis consistent with lupus erythematosus.'],[],['Mild Interface Dermatitis consistent with lupus erythematosus.'], Mild Interface Dermatitis. Consistent with lupus erythematis. Hopefully you noted the Perivascular Inflammation or I should say Perivascular Inflammation., Mild Interface Dermatitis. Consistent with lupus erythematosus. Hopefully you noted the Perivascular Inflammation or I should say Perivascular Inflammation.,"[[{'entity': 'Mild Interface', 'concept_id': 'C1708533', 'confidence': 0.7678548097610474}, {'entity': 'Dermatitis', 'concept_id': 'C0011603', 'confidence': 1.0}, {'entity': 'consistent with', 'concept_id': 'C0332290', 'confidence': 1.0}, {'entity': 'lupus erythematosus', 'concept_id': 'C0409974', 'confidence': 1.0}]]",0.0,92.5258,48.69778947368421,1080.0,1920.0,29.97
4,gSobKB_2Ris,1.0,3.0,"['Dermatopathology', 'Soft tissue', 'Hematopathology']",gSobKB_2Ris_image_51af893e-2596-45d8-845c-d2e39acb616f.jpg,['Mild interface dermatitis consistent with lupus erythematosus.'],['Interface dermatitis'],"['Mild interface dermatitis consistent with lupus erythematosus.', 'Interface dermatitis']", Mild Interface Dermatitis. Consistent with lupus erythematis. Hopefully you noted the Perivascular Inflammation or I should say Perivascular Inflammation., Mild Interface Dermatitis. Consistent with lupus erythematosus. Hopefully you noted the Perivascular Inflammation or I should say Perivascular Inflammation.,"[[{'entity': 'Mild interface dermatitis', 'concept_id': 'C0262981', 'confidence': 0.8616485595703125}, {'entity': 'consistent with', 'concept_id': 'C0332290', 'confidence': 1.0}, {'entity': 'lupus erythematosus', 'concept_id': 'C0409974', 'confidence': 1.0}]]",1.0,92.5258,48.69778947368421,1080.0,1920.0,29.97
5,gSobKB_2Ris,1.0,4.0,"['Dermatopathology', 'Soft tissue', 'Hematopathology']",gSobKB_2Ris_image_00db3e22-ff46-4912-aa90-dba3c92eaa62.jpg,"['Mild Interface Dermatitis, which may be related to an autoimmune condition such as lupus erythematosus.']",[],"['Mild Interface Dermatitis, which may be related to an autoimmune condition such as lupus erythematosus.']", Mild Interface Dermatitis. Consistent with lupus erythematis. Hopefully you noted the Perivascular Inflammation or I should say Perivascular Inflammation., Mild Interface Dermatitis. Consistent with lupus erythematosus. Hopefully you noted the Perivascular Inflammation or I should say Perivascular Inflammation.,"[[{'entity': 'Mild Interface Dermatitis', 'concept_id': 'C0262981', 'confidence': 0.8616485595703125}, {'entity': 'autoimmune condition', 'concept_id': 'C0004364', 'confidence': 1.0}, {'entity': 'lupus erythematosus', 'concept_id': 'C0409974', 'confidence': 1.0}]]",2.0,92.5258,48.69778947368421,1080.0,1920.0,29.97
6,gSobKB_2Ris,1.0,5.0,"['Dermatopathology', 'Soft tissue', 'Hematopathology']",gSobKB_2Ris_image_6d2f00ea-fb5a-420e-9f4c-2adf3c603b4a.jpg,['Mild Interface Dermatitis consistent with lupus erythematosus.'],[],['Mild Interface Dermatitis consistent with lupus erythematosus.'], Mild Interface Dermatitis. Consistent with lupus erythematis. Hopefully you noted the Perivascular Inflammation or I should say Perivascular Inflammation., Mild Interface Dermatitis. Consistent with lupus erythematosus. Hopefully you noted the Perivascular Inflammation or I should say Perivascular Inflammation.,"[[{'entity': 'Mild Interface', 'concept_id': 'C1708533', 'confidence': 0.7678548097610474}, {'entity': 'Dermatitis', 'concept_id': 'C0011603', 'confidence': 1.0}, {'entity': 'consistent with', 'concept_id': 'C0332290', 'confidence': 1.0}, {'entity': 'lupus erythematosus', 'concept_id': 'C0409974', 'confidence': 1.0}]]",1.0,92.5258,48.69778947368421,1080.0,1920.0,29.97
7,gSobKB_2Ris,1.0,6.0,"['Dermatopathology', 'Soft tissue', 'Hematopathology']",gSobKB_2Ris_image_41eebfd6-e45a-4117-9583-ea7b907cdd58.jpg,['Mild interface dermatitis is consistent with lupus erythematosus.'],[],['Mild interface dermatitis is consistent with lupus erythematosus.'], Mild Interface Dermatitis. Consistent with lupus erythematis. Hopefully you noted the Perivascular Inflammation or I should say Perivascular Inflammation., Mild Interface Dermatitis. Consistent with lupus erythematosus. Hopefully you noted the Perivascular Inflammation or I should say Perivascular Inflammation.,"[[{'entity': 'Mild interface dermatitis', 'concept_id': 'C0262981', 'confidence': 0.8616485595703125}, {'entity': 'consistent with', 'concept_id': 'C0332290', 'confidence': 1.0}, {'entity': 'lupus erythematosus', 'concept_id': 'C0409974', 'confidence': 1.0}]]",0.0,92.5258,48.69778947368421,1080.0,1920.0,29.97
8,-QoNfyal1bU,1.0,0.0,"['Gastrointestinal', 'Dermatopathology', 'Renal']",-QoNfyal1bU_image_a5fef124-3378-4e89-8693-0d2a7a3d4825.jpg,"['Dilated congested veins are present in the anal area, underlying a squamous mucosa.']",['large dilated vascular spaces lined by thin amounts of smooth muscle (veins)'],"['Dilated congested veins are present in the anal area, underlying a squamous mucosa.', 'large dilated vascular spaces lined by thin amounts of smooth muscle (veins)']", Here are large dilated vascular spaces lined by thin amounts of smooth muscle which means they are veins. They are dilated congested veins. They are underlying a squamous mucosa. They are from the anal area. This is by definition hemorrhoids. There, Here are large dilated vascular spaces lined by thin amounts of smooth muscle which means they are veins. They are dilated congested veins. They are underlying a squamous mucosa. They are from the anal area. This is by definition hemorrhoids. There,"[[{'entity': 'Dilated', 'concept_id': 'C0700124', 'confidence': 0.9999999403953552}, {'entity': 'anal area', 'concept_id': 'C0017446', 'confidence': 0.7906681299209595}, {'entity': 'squamous mucosa', 'concept_id': 'C1182670', 'confidence': 0.7671424746513367}]]",0.0,142.0,11.007751937984496,480.0,540.0,15.0
9,-QoNfyal1bU,1.0,1.0,"['Gastrointestinal', 'Dermatopathology', 'Renal']",-QoNfyal1bU_image_84c6d182-2cec-4612-a444-0d04287018f5.jpg,"['Presence of dilated congested veins lined by thin amounts of smooth muscle, which are hemorrhoids.']",['Large dilated vascular spaces underlying a squamous mucosa in the anal area.'],"['Presence of dilated congested veins lined by thin amounts of smooth muscle, which are hemorrhoids.', 'Large dilated vascular spaces underlying a squamous mucosa in the anal area.']", Here are large dilated vascular spaces lined by thin amounts of smooth muscle which means they are veins. They are dilated congested veins. They are underlying a squamous mucosa. They are from the anal area. This is by definition hemorrhoids. There are two kinds of hemorrhoids. There are external hemorrhoids and internal hemorrhoids and classically external hemorrhoids are underlying squamous mucosa, Here are large dilated vascular spaces lined by thin amounts of smooth muscle which means they are veins. They are dilated congested veins. They are underlying a squamous mucosa. They are from the anal area. This is by definition hemorrhoids. There are two kinds of hemorrhoids. There are external hemorrhoids and internal hemorrhoids and typically external hemorrhoids are underlying squamous mucosa,"[[{'entity': 'Presence', 'concept_id': 'C0150312', 'confidence': 1.0}, {'entity': 'dilated', 'concept_id': 'C0700124', 'confidence': 0.9999999403953552}, {'entity': 'smooth muscle', 'concept_id': 'C1267092', 'confidence': 1.0}, {'entity': 'hemorrhoids', 'concept_id': 'C0019112', 'confidence': 1.0}]]",0.0,142.0,11.007751937984496,480.0,540.0,15.0
10,-QoNfyal1bU,1.0,1.0,"['Gastrointestinal', 'Dermatopathology', 'Renal']",-QoNfyal1bU_image_59cd2ea0-4042-4f9d-8e29-681df2dec6f3.jpg,"['Presence of dilated congested veins lined by thin amounts of smooth muscle, which are hemorrhoids.']","['Large dilated vascular spaces underlying a squamous mucosa in the anal area.', 'Large dilated vascular spaces underlying a squamous mucosa in the anal area.', 'Large dilated vascular spaces underlying a squamous mucosa in the anal area.']","['Presence of dilated congested veins lined by thin amounts of smooth muscle, which are hemorrhoids.', 'Large dilated vascular spaces underlying a squamous mucosa in the anal area.', 'Large dilated vascular spaces underlying a squamous mucosa in the anal area.', 'Large dilated vascular spaces underlying a squamous mucosa in the anal area.']", Here are large dilated vascular spaces lined by thin amounts of smooth muscle which means they are veins. They are dilated congested veins. They are underlying a squamous mucosa. They are from the anal area. This is by definition hemorrhoids. There are two kinds of hemorrhoids. There are external hemorrhoids and internal hemorrhoids and classically external hemorrhoids are underlying squamous mucosa, Here are large dilated vascular spaces lined by thin amounts of smooth muscle which means they are veins. They are dilated congested veins. They are underlying a squamous mucosa. They are from the anal area. This is by definition hemorrhoids. There are two kinds of hemorrhoids. There are external hemorrhoids and internal hemorrhoids and typically external hemorrhoids are underlying squamous mucosa,"[[{'entity': 'Presence', 'concept_id': 'C0150312', 'confidence': 1.0}, {'entity': 'dilated', 'concept_id': 'C0700124', 'confidence': 0.9999999403953552}, {'entity': 'smooth muscle', 'concept_id': 'C1267092', 'confidence': 1.0}, {'entity': 'hemorrhoids', 'concept_id': 'C0019112', 'confidence': 1.0}]]",0.0,142.0,11.007751937984496,480.0,540.0,15.0
11,-QoNfyal1bU,1.0,2.0,"['Gastrointestinal', 'Dermatopathology', 'Renal']",-QoNfyal1bU_image_f75f9dfd-7d9f-436c-9001-c8b8154fc0ee.jpg,['Dilated congested veins underlying a squamous mucosa in the anal area are defined as hemorrhoids.'],['Dilated congested veins underlying squamous mucosa in the anal area (hemorrhoids)'],"['Dilated congested veins underlying a squamous mucosa in the anal area are defined as hemorrhoids.', 'Dilated congested veins underlying squamous mucosa in the anal area (hemorrhoids)']", which means they are veins. They are dilated congested veins. They are underlying a squamous mucosa. They are from the anal area. This is by definition hemorrhoids. There are two kinds of hemorrhoids. There are external hemorrhoids and internal hemorrhoids and classically external hemorrhoids are underlying squamous mucosa and internal hemorrhoids classically underlie columnar mucosa and the transition, which means they are veins. They are dilated congested veins. They are underlying a squamous mucosa. They are from the anal area. This is by definition hemorrhoids. There are two kinds of hemorrhoids. There are external hemorrhoids and internal hemorrhoids and classically external hemorrhoids are underlying squamous mucosa and internal hemorrhoids classically underlie columnar mucosa and the transition,"[[{'entity': 'Dilated', 'concept_id': 'C0700124', 'confidence': 0.9999999403953552}, {'entity': 'squamous mucosa', 'concept_id': 'C1182670', 'confidence': 0.7671424746513367}, {'entity': 'anal', 'concept_id': 'C0003461', 'confidence': 1.0}, {'entity': 'hemorrhoids', 'concept_id': 'C0019112', 'confidence': 1.0}]]",0.0,142.0,11.007751937984496,480.0,540.0,15.0
12,-QoNfyal1bU,1.0,2.0,"['Gastrointestinal', 'Dermatopathology', 'Renal']",-QoNfyal1bU_image_08d1d0cc-98cb-4869-954e-04e5131514e9.jpg,['Dilated congested veins underlying a squamous mucosa in the anal area are defined as hemorrhoids.'],"['Dilated congested veins underlying squamous mucosa in the anal area (hemorrhoids)', 'Dilated congested veins underlying squamous mucosa in the anal area (hemorrhoids)']","['Dilated congested veins underlying a squamous mucosa in the anal area are defined as hemorrhoids.', 'Dilated congested veins underlying squamous mucosa in the anal area (hemorrhoids)', 'Dilated congested veins underlying squamous mucosa in the anal area (hemorrhoids)']", which means they are veins. They are dilated congested veins. They are underlying a squamous mucosa. They are from the anal area. This is by definition hemorrhoids. There are two kinds of hemorrhoids. There are external hemorrhoids and internal hemorrhoids and classically external hemorrhoids are underlying squamous mucosa and internal hemorrhoids classically underlie columnar mucosa and the transition, which means they are veins. They are dilated congested veins. They are underlying a squamous mucosa. They are from the anal area. This is by definition hemorrhoids. There are two kinds of hemorrhoids. There are external hemorrhoids and internal hemorrhoids and classically external hemorrhoids are underlying squamous mucosa and internal hemorrhoids classically underlie columnar mucosa and the transition,"[[{'entity': 'Dilated', 'concept_id': 'C0700124', 'confidence': 0.9999999403953552}, {'entity': 'squamous mucosa', 'concept_id': 'C1182670', 'confidence': 0.7671424746513367}, {'entity': 'anal', 'concept_id': 'C0003461', 'confidence': 1.0}, {'entity': 'hemorrhoids', 'concept_id': 'C0019112', 'confidence': 1.0}]]",0.0,142.0,11.007751937984496,480.0,540.0,15.0
13,-QoNfyal1bU,1.0,2.0,"['Gastrointestinal', 'Dermatopathology', 'Renal']",-QoNfyal1bU_image_a22eaa06-7ee4-4c58-b836-3822dc350916.jpg,['Dilated congested veins underlying a squamous mucosa in the anal area are defined as hemorrhoids.'],"['Dilated congested veins underlying squamous mucosa in the anal area (hemorrhoids)', 'Dilated congested veins underlying squamous mucosa in the anal area (hemorrhoids)']","['Dilated congested veins underlying a squamous mucosa in the anal area are defined as hemorrhoids.', 'Dilated congested veins underlying squamous mucosa in the anal area (hemorrhoids)', 'Dilated congested veins underlying squamous mucosa in the anal area (hemorrhoids)']", which means they are veins. They are dilated congested veins. They are underlying a squamous mucosa. They are from the anal area. This is by definition hemorrhoids. There are two kinds of hemorrhoids. There are external hemorrhoids and internal hemorrhoids and classically external hemorrhoids are underlying squamous mucosa and internal hemorrhoids classically underlie columnar mucosa and the transition, which means they are veins. They are dilated congested veins. They are underlying a squamous mucosa. They are from the anal area. This is by definition hemorrhoids. There are two kinds of hemorrhoids. There are external hemorrhoids and internal hemorrhoids and classically external hemorrhoids are underlying squamous mucosa and internal hemorrhoids classically underlie columnar mucosa and the transition,"[[{'entity': 'Dilated', 'concept_id': 'C0700124', 'confidence': 0.9999999403953552}, {'entity': 'squamous mucosa', 'concept_id': 'C1182670', 'confidence': 0.7671424746513367}, {'entity': 'anal', 'concept_id': 'C0003461', 'confidence': 1.0}, {'entity': 'hemorrhoids', 'concept_id': 'C0019112', 'confidence': 1.0}]]",0.0,142.0,11.007751937984496,480.0,540.0,15.0
14,-QoNfyal1bU,1.0,3.0,"['Gastrointestinal', 'Dermatopathology', 'Renal']",-QoNfyal1bU_image_87d220a9-cc6d-4488-ba7b-9235cc9f3431.jpg,"['Description of external and internal hemorrhoids and their location relative to squamous and columnar mucosa.', 'Mention of the squamo columnar junction in the body called the pectinate line.']",[],"['Description of external and internal hemorrhoids and their location relative to squamous and columnar mucosa.', 'Mention of the squamo columnar junction in the body called the pectinate line.']", hemorrhoids. There are two kinds of hemorrhoids. There are external hemorrhoids and internal hemorrhoids and classically external hemorrhoids are underlying squamous mucosa and internal hemorrhoids classically underlie columnar mucosa and the transition between the columnar mucosa and the shinier squamous mucosa is another squamo columnar junction in our body called the pectinate line. The external hemorrhoids, hemorrhoids. There are two kinds of hemorrhoids. There are external hemorrhoids and internal hemorrhoids and classically external hemorrhoids are underlying squamous mucosa and internal hemorrhoids classically underlie columnar mucosa and the transition between the columnar mucosa and the shinier squamous mucosa is another squamo columnar junction in our body called the pectinate line. The external hemorrhoids,"[[{'entity': 'Description', 'concept_id': 'C0678257', 'confidence': 1.0}, {'entity': 'external', 'concept_id': 'C0205101', 'confidence': 1.0}, {'entity': 'internal hemorrhoids', 'concept_id': 'C0265034', 'confidence': 0.9999998807907104}, {'entity': 'location', 'concept_id': 'C0450429', 'confidence': 1.0}, {'entity': 'squamous', 'concept_id': 'C1182670', 'confidence': 0.9999998807907104}], [{'entity': 'Mention', 'concept_id': 'C0084844', 'confidence': 0.5821413993835449}, {'entity': 'squamo', 'concept_id': 'C0641349', 'confidence': 0.7804284691810608}, {'entity': 'body', 'concept_id': 'C0227230', 'confidence': 1.0}, {'entity': 'pectinate line', 'concept_id': 'C0821671', 'confidence': 0.9999998807907104}]]",0.0,142.0,11.007751937984496,480.0,540.0,15.0
15,-QoNfyal1bU,1.0,3.0,"['Gastrointestinal', 'Dermatopathology', 'Renal']",-QoNfyal1bU_image_02ed0b57-84bc-4050-bce9-2e01c29330ae.jpg,"['Description of external and internal hemorrhoids and their location relative to squamous and columnar mucosa.', 'Mention of the squamo columnar junction in the body called the pectinate line.']",[],"['Description of external and internal hemorrhoids and their location relative to squamous and columnar mucosa.', 'Mention of the squamo columnar junction in the body called the pectinate line.']", hemorrhoids. There are two kinds of hemorrhoids. There are external hemorrhoids and internal hemorrhoids and classically external hemorrhoids are underlying squamous mucosa and internal hemorrhoids classically underlie columnar mucosa and the transition between the columnar mucosa and the shinier squamous mucosa is another squamo columnar junction in our body called the pectinate line. The external hemorrhoids, hemorrhoids. There are two kinds of hemorrhoids. There are external hemorrhoids and internal hemorrhoids and classically external hemorrhoids are underlying squamous mucosa and internal hemorrhoids classically underlie columnar mucosa and the transition between the columnar mucosa and the shinier squamous mucosa is another squamo columnar junction in our body called the pectinate line. The external hemorrhoids,"[[{'entity': 'Description', 'concept_id': 'C0678257', 'confidence': 1.0}, {'entity': 'external', 'concept_id': 'C0205101', 'confidence': 1.0}, {'entity': 'internal hemorrhoids', 'concept_id': 'C0265034', 'confidence': 0.9999998807907104}, {'entity': 'location', 'concept_id': 'C0450429', 'confidence': 1.0}, {'entity': 'squamous', 'concept_id': 'C1182670', 'confidence': 0.9999998807907104}], [{'entity': 'Mention', 'concept_id': 'C0084844', 'confidence': 0.5821413993835449}, {'entity': 'squamo', 'concept_id': 'C0641349', 'confidence': 0.7804284691810608}, {'entity': 'body', 'concept_id': 'C0227230', 'confidence': 1.0}, {'entity': 'pectinate line', 'concept_id': 'C0821671', 'confidence': 0.9999998807907104}]]",0.0,142.0,11.007751937984496,480.0,540.0,15.0
